COMPANY,RANK,RANK_CHANGE,REVENUE,PROFIT,NUM_OF_EMPLOYEES,SECTOR,CITY,STATE,NEWCOMER,CEO_FOUNDER,CEO_WOMAN,PROFITABLE,PREV_RANK,CEO,WEBSITE,TICKER,MARKET_CAP,CEO_NAME,CEO_DOB,DOB_MMDD,DOB_YYYY,MISSING_DOBS,BIRTH_CITY,BIRTH_STATE,ORIGIN_STATE,CURRENT_RESIDENCE,CEO_BACH_MAJOR,CEO_BACH_SCHOOL,CEO_MAST_MAJOR,CEO_MAST_SCHOOL,PHD,DROPPED_OUT,YR_TURNED_CEO,PREVIOUSLY_CEO,SECOND_MAST_MAJOR,SECOND_MAST_SCHOOL,THIRD_MAST_MAJOR,THIRD_MAST_SCHOOL,ZODIAC,AGE,AGE_TURNED_CEO
Block,208,115,17661,166,8521,Business Services,San Francisco,CA,no,yes,no,yes,323,Jack Dorsey,https://www.block.xyz,SQ,78656,Jack Dorsey,11/19/1976,11/19/2023,11/1/1976,,St Louis,MO,MO,CA,Computer Science,NYU,no,no,no,yes,11/1/2009,founder,,,,,Scorpio,47,33
Goodyear Tire & Rubber,209,37,17478,764,72000,Motor Vehicles & Parts,Akron,OH,no,no,no,yes,246,Richard J. Kramer,https://www.goodyear.com,GT,4029,Richard J. Kramer,10/30/1963,10/30/2023,11/1/1963,,Cleveland,OH,OH,OH,Business Administration,John Caroll University,no,no,no,no,11/1/2010,no,,,,,Scorpio,60,47
Uber Technologies,210,71,17455,-496,29300,Technology,San Francisco,CA,no,no,no,no,281,Dara Khosrowshahi,https://www.uber.com,UBER,69753,Dara Khosrowshahi,5/28/1969,5/28/2023,11/1/1969,,Tehran,Iran,NY,CA,Electrical Engineering,Brown,no,no,no,no,11/1/2017,yes,,,,,Gemini,54,48
Colgate-Palmolive,211,-23,17421,2166,33800,Household Products,New York,NY,no,no,no,yes,188,Noel R. Wallace,https://www.colgatepalmolive.com,CL,63742,Noel R. Wallace,,,,,,,,,Finance,Texas A&M,no,no,no,no,11/1/2019,no,,,,,,,
Stanley Black & Decker,212,-3,17253,1689,71300,Household Products,New Britain,CT,no,no,no,yes,209,Donald Allan Jr.,https://www.stanleyblackanddecker.com,SWK,22843,Donald Allan Jr.,3/21/1964,3/21/2023,11/1/1964,,,,CT,CT,Finance and Accounting,University of Hartford,no,no,no,no,11/1/2022,no,,,,,Aries,59,58
DuPont,213,-69,17160,6467,28000,Chemicals,Wilmington,DE,no,no,no,yes,144,Edward D. Breen,https://www.dupont.com,DD,37740,Edward D. Breen,1/1/1956,1/1/2023,11/1/1956,"MMDD missing, default to 1/1",Grove City,PA,PA,,Business and Economics,Grove City College,no,no,honorary,no,11/1/2015,yes,,,,,,67,59
Stryker,214,-2,17108,1994,46000,Health Care,Kalamazoo,MI,no,no,no,yes,212,Kevin A. Lobo,https://www.stryker.com,SYK,100978,Kevin A. Lobo,,,,,Mumbai,India,Canada,MI,Commerce,McGill University,MBA,University of Toronto,no,no,11/1/2012,no,,,,,,,
NextEra Energy,215,-49,17069,3573,15000,Energy,Juno Beach,FL,no,no,no,yes,166,John W. Ketchum,https://www.nexteraenergy.com,NEE,166264,John W. Ketchum,1/1/1971,1/1/2023,11/1/1971,"MMDD missing, default to 1/1",,,,FL,Economics and Finance,University of Arizona,Law in Taxation,"University of Missouri, Kansas City",no,no,11/1/2022,"yes, of internal subsidiary",JD,"University of Missouri, Kansas City",,,,52,51
Targa Resources,216,148,16950,71,2430,Energy,Houston,TX,no,no,no,yes,364,Matthew J. Meloy,https://www.targaresources.com,TRGP,17244,Matthew J. Meloy,,,,,,,,TX,Finance,"University of Texas, Austin",no,no,no,no,11/1/2020,no,,,,,,,
Western Digital,217,-35,16922,821,65600,Technology,San Jose,CA,no,no,no,yes,182,David V. Goeckeler,https://www.westerndigital.com,WDC,15536,David V. Goeckeler,,,,,,,,CA,"Math, Computer Science","University of Missouri, Columbia",Computer Science,"University of Illinois, Urbana-Champaign",no,no,11/1/2020,no,MBA,University of California Berkeley,MBA,Columbia,,,
PPG Industries,218,2,16802,1439,49300,Chemicals,Pittsburgh,PA,no,no,no,yes,220,Michael H. McGarry,https://www.ppg.com,PPG,30952,Michael H. McGarry,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",,,LA,,Mechanical Engineering,"University of Texas, Austin",Advanced Management,Harvard,no,no,11/1/2015,no,,,,,,65,57
American Electric Power,219,-15,16792,2488,16688,Energy,Columbus,OH,no,no,no,yes,204,Nicholas K. Akins,https://www.aep.com,AEP,50339,Nicholas K. Akins,1/1/1961,1/1/2023,11/1/1961,"MMDD missing, default to 1/1",,,LA,OH,Electrical Engineering,Louisiana State University,Electrical Engineering,Louisiana State University,no,no,11/1/2010,no,,,,,,62,49
Gap,220,1,16670,256,97000,Retailing,San Francisco,CA,no,no,no,yes,221,Bobby L. Martin,https://www.gapinc.com,GPS,5207,Bobby L. Martin,12/24/1948,12/24/2023,11/1/1948,,Gidden,MO,,AR,,South Texas University,no,no,honorary,yes,11/1/2022,"yes, at external subsidiary",,,,,Capricorn,75,74
BJ&#8217;s Wholesale Club,221,-23,16667,427,34000,Retailing,Westborough,MA,no,no,no,yes,198,Robert W. Eddy,https://www.bjs.com,BJ,9147,Robert W. Eddy,,,,,,,,MA,Accounting,Babson College,no,no,no,no,11/1/2021,no,,,,,,,
Reinsurance Group of America,222,-15,16658,617,3500,Financials,Chesterfield,MO,no,no,yes,yes,207,Anna Manning,https://www.rgare.com,RGA,7355,Anna Manning,,,,,,,,MO,Actuarial Science,University of Toronto,no,no,no,no,11/1/2017,no,,,,,,,
Kinder Morgan,223,39,16610,1784,10529,Energy,Houston,TX,no,no,no,yes,262,Steven J. Kean,https://www.kindermorgan.com,KMI,42878,Steven J. Kean,,,,,Dubuque,IA,IA,TX,,Iowa State,JD,University of Iowa,no,no,11/1/2015,no,,,,,,,
Oneok,224,127,16540,1500,2847,Energy,Tulsa,OK,no,no,no,yes,351,Pierce H. Norton II,https://www.oneok.com,OKE,31516,Pierce H. Norton II,,,,,,,AL,OK,Mechanical Engineering,"University of Alabama, Tuscaloosa",Advanced Management,Harvard,no,no,11/1/2021,yes,,,,,,,
Expeditors Intl. of Washington,225,74,16524,1416,19070,Transportation,Seattle,WA,no,no,no,yes,299,Jeffrey Musser,https://www.expeditors.com,EXPD,15051,Jeffrey Musser,,,,,,,,WA,no,no,no,no,no,no,11/1/2013,no,,,,,,,
Advanced Micro Devices,226,83,16434,3162,15500,Technology,Santa Clara,CA,no,no,yes,yes,309,Lisa Su,https://www.amd.com,AMD,93566,Lisa Su,11/7/1969,11/7/2023,11/1/1969,,Tainan City,Taiwan,NY,TX,Electrical Engineering,MIT,Electrical Engineering,MIT,yes,no,11/1/2014,no,,,,,Scorpio,54,45
Fiserv,227,-22,16226,1334,44000,Business Services,Brookfield,WI,no,no,no,yes,205,Frank J. Bisignano,https://www.fiserv.com,FISV,66133,Frank J. Bisignano,8/9/1959,8/9/2023,11/1/1959,,Brooklyn,NY,NY,NJ,Finance,Newport University,no,no,honorary,no,11/1/2020,yes via merger,,,,,Leo,64,61
Estée Lauder,228,-15,16215,2870,53320,Household Products,New York,NY,no,no,no,yes,213,Fabrizio Freda,https://www.elcompanies.com,EL,97672,Fabrizio Freda,8/31/1957,8/31/2023,11/1/1957,,Naples,Italy,Italy,NY,,University of Naples Federico II,no,no,no,no,11/1/2009,no,,,,,Virgo,66,52
Bank of New York Mellon,229,-49,16158,3759,49100,Financials,New York,NY,no,no,no,yes,180,Robin Vince,https://www.bnymellon.com,BK,40057,Robin Vince,,,,,,,,NY,Languages,University of Nottingham,no,no,no,no,11/1/2022,"yes, at external subsidiary",,,,,,,
Laboratory Corp. of America,230,-12,16121,2377,71725,Health Care,Burlington,NC,no,no,no,yes,218,Adam H. Schechter,https://www.labcorp.com,LH,24626,Adam H. Schechter,,,,,,,,PA,Biology,La Salle,no,no,honorary,no,11/1/2019,no,,,,,,,
Regeneron Pharmaceuticals,231,123,16072,8075,10368,Health Care,Tarrytown,NY,no,yes,no,yes,354,Leonard Schleifer,https://www.regeneron.com,REGN,80226,Leonard Schleifer,1/1/1953,1/1/2023,11/1/1953,"MMDD missing, default to 1/1",Queens,NY,NY,NY,,Cornell,,,yes,no,11/1/1988,founder,,,,,,70,35
Land O'Lakes,232,-13,15916,287,9000,"Food, Beverages & Tobacco",Arden Hills,MN,no,no,yes,yes,219,Beth E. Ford,https://www.landolakesinc.com,,,Beth E. Ford,1/1/1964,1/1/2023,11/1/1964,"MMDD missing, default to 1/1",Sioux City,IA,IA,MN,Business Administration,Iowa State,MBA,Columbia,honorary,no,11/1/2018,no,,,,,,59,54
Cheniere Energy,233,95,15864,-2343,1550,Energy,Houston,TX,no,no,no,no,328,Jack A. Fusco,https://www.cheniere.com,LNG,35272,Jack A. Fusco,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",Modesto,CA,,,Mechanical Engineering,"California State University , Sacramento",no,no,no,no,11/1/2016,yes,,,,,,60,53
Southwest Airlines,234,102,15790,977,55093,Transportation,Dallas,TX,no,no,no,yes,336,Robert E. Jordan,https://www.southwest.com,LUV,27129,Robert E. Jordan,,,,,,,,TX,Computer Science,Texas A&M,MBA,Texas A&M,no,no,11/1/2022,no,,,,,,,
Adobe,235,-1,15785,4822,25988,Technology,San Jose,CA,no,no,no,yes,234,Shantanu Narayen,https://www.adobe.com,ADBE,215281,Shantanu Narayen,5/27/1963,5/27/2023,11/1/1963,,Hyderabad,India,India,CA,Electronics and Communication Engineering,Osmania University,Computer Science,Bowling Green State University,honorary,no,11/1/2007,no,MBA,University of California Berkeley,,,Gemini,60,44
Synchrony Financial,236,-49,15752,4221,18000,Financials,Stamford,CT,no,no,no,yes,187,Brian D. Doubles,https://www.synchronyfinancial.com,SYF,18146,Brian D. Doubles,,,,,,,MI,CT,Engineering,Michigan State University,no,no,no,no,11/1/2021,no,,,,,,,
Corteva,237,-23,15655,1759,21000,"Food, Beverages & Tobacco",Indianapolis,IN,no,no,no,yes,214,Charles V. Magro,https://www.corteva.com,CTVA,41775,Charles V. Magro,1/1/1971,1/1/2023,11/1/1971,"MMDD missing, default to 1/1",,Canada,Canada,Canada,Chemical Engineering,University of Waterloo,MBA,University of Windsor,honorary,no,11/1/2021,yes,,,,,,52,50
Fidelity National Financial,238,50,15643,2422,28290,Financials,Jacksonville,FL,no,no,no,yes,288,Michael Nolan,https://www.fnf.com,FNF,10569,Michael Nolan,1/1/1971,1/1/2023,11/1/1971,"MMDD missing, default to 1/1",,,,,,University of Chicago,no,no,no,no,11/1/2022,no,,,,,,52,51
DTE Energy,239,11,15369,907,10300,Energy,Detroit,MI,no,no,no,yes,250,Gerardo Norcia,https://www.dteenergy.com,DTE,25615,Gerardo Norcia,,,,,,,,MI,Chemical Engineering,University of Windsor,no,no,no,no,11/1/2019,no,,,,,,,
Murphy USA,240,82,15319,397,10430,Retailing,El Dorado,AR,no,no,no,yes,322,R. Andrew Clyde,https://www.murphyusa.com,MUSA,4889,R. Andrew Clyde,,,,,Chicago,IL,AR,AR,Business Administration,Southern Methodist University,MBA,Northwestern,no,no,11/1/2013,no,,,,,,,
Halliburton,241,-30,15295,1457,40000,Energy,Houston,TX,no,no,no,yes,211,Jeffrey A. Miller,https://www.halliburton.com,HAL,34029,Jeffrey A. Miller,,,,,Dallas,TX,TX,,Agriculture,McNeese State,MBA,Texas A&M,honorary,no,11/1/2017,no,,,,,,,
Automatic Data Processing,242,-34,15005,2599,56000,Business Services,Roseland,NJ,no,no,no,yes,208,Carlos A. Rodriguez,https://www.adp.com,ADP,95577,Carlos A. Rodriguez,1/1/1965,1/1/2023,11/1/1965,"MMDD missing, default to 1/1",,Cuba,FL,,Political Science,Harvard,MBA,Harvard,honorary,no,11/1/2011,no,,,,,,58,46
Edison International,243,-17,14905,759,13003,Energy,Rosemead,CA,no,no,no,yes,226,Pedro J. Pizarro,https://www.edisoninvestor.com,EIX,26694,Pedro J. Pizarro,,,,,,,PR,CA,Chemistry,Harvard,,,yes,no,11/1/2016,"yes, of internal subsidiary",,,,,,,
BorgWarner,244,51,14838,537,49300,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes,295,Frederic B. Lissalde,https://www.borgwarner.com,BWA,9335,Frederic B. Lissalde,7/17/1967,7/17/2023,11/1/1967,,Paris,France,France,,,,Engineering,ENSAM,no,no,11/1/2018,no,MBA,HEC Paris,,,Cancer,56,51
Nordstrom,245,44,14789,178,72000,Retailing,Seattle,WA,no,no,no,yes,289,Erik B. Nordstrom,https://www.nordstrom.com,JWN,4321,Erik B. Nordstrom,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",,WA,WA,WA,Business Administration,University of Washington,no,no,no,no,11/1/2020,no,,,,,,60,57
Loews,246,-7,14657,1578,10340,Financials,New York,NY,no,no,no,yes,239,James S. Tisch,https://www.loews.com,L,15971,James S. Tisch,1/2/1953,1/2/2023,11/1/1953,,Atlantic City,NJ,NY,NY,Economics,Cornell,MBA,UPenn,no,no,11/1/1999,no,,,,,Capricorn,70,46
Guardian Life Ins. Co. of America,247,-20,14648,289,9150,Financials,New York,NY,no,no,no,yes,227,Andrew J. McMahon,https://www.guardianlife.com,,,Andrew J. McMahon,,,,,,,,NY,Computer Science,Fairfield University,MBA,Columbia,no,no,11/1/2020,yes,,,,,,,
Pioneer Natural Resources,248,180,14643,2118,1932,Energy,Irving,TX,no,no,no,yes,428,Scott D. Sheffield,https://www.pxd.com,PXD,60728,Scott D. Sheffield,6/4/1952,6/4/2023,11/1/1952,,Dallas,TX,Iran,TX,Petroleum Engineering,"University of Texas, Austin",no,no,no,no,11/1/1997,yes,,,,,Gemini,71,45
AutoZone,249,-11,14630,2170,85050,Retailing,Memphis,TN,no,no,no,yes,238,William C. Rhodes III,https://www.autozone.com,AZO,40583,William C. Rhodes III,1/1/1965,1/1/2023,11/1/1965,"MMDD missing, default to 1/1",Memphis,TN,TN,TN,Accounting,"University of Tennessee, Martin",MBA,University of Memphis,no,no,11/1/2005,no,,,,,,58,40
Lam Research,250,54,14626,3909,14100,Technology,Fremont,CA,no,no,no,yes,304,Timothy M. Archer,https://www.lamresearch.com,LRCX,74997,Timothy M. Archer,,,,,,,,CA,Applied Physics,CalTech,Advanced Management,Harvard,no,no,11/1/2018,no,,,,,,,
American Family Insurance Group,251,-19,14612,735,13590,Financials,Madison,WI,no,no,no,yes,232,William Westrate,https://www.amfam.com,,,William Westrate,,,,,,MI,IA,WI,Mathematics,Northwestern College,no,no,no,no,11/1/2022,no,,,,,,,
Walmart,1,0,572754,13673,2300000,Retailing,Bentonville,AR,no,no,no,yes,1,C. Douglas McMillon,https://www.stock.walmart.com,WMT,352037,C. Douglas McMillon,10/17/1966,10/17/2023,11/1/1966,,Memphis,TN,AR,,Business Administration,"University of Arkansas, Fayetteville",MBA,University of Tulsa,no,no,11/1/2014,,,,,,Libra,57,48
Amazon,2,0,469822,33364,1608000,Retailing,Seattle,WA,no,no,no,yes,2,Andrew R. Jassy,www.amazon.com,AMZN,1202717,Andrew R. Jassy,1/13/1968,1/13/2023,11/1/1968,,Scarsdale,NY,NY,,Government,Harvard,MBA,Harvard,no,no,11/1/2021,,,,,,Capricorn,55,53
Apple,3,0,365817,94680,154000,Technology,Cupertino,CA,no,no,no,yes,3,Timothy D. Cook,www.apple.com,AAPL,2443962,Timothy D. Cook,11/1/1960,11/1/2023,11/1/1960,,Mobile,AL,AL,,Industrial Engineering,Auburn University,MBA,Duke,no,no,11/1/2011,,,,,,Scorpio,63,51
CVS Health,4,0,292111,7910,258000,Health Care,Woonsocket,RI,no,no,yes,yes,4,Karen Lynch,https://www.cvshealth.com,CVS,125204,Karen Lynch,12/30/1963,12/30/2023,11/1/1963,,Ware,MA,MA,,Accounting,Boston College,MBA,Boston University,no,no,11/1/2021,no,,,,,Capricorn,60,58
UnitedHealth Group,5,0,287597,17285,350000,Health Care,Minnetonka,MN,no,no,no,yes,5,Andrew P. Witty,www.unitedhealthgroup.com,UNH,500468,Andrew P. Witty,8/22/1964,8/22/2023,11/1/1964,,Nantwich,United Kingdom,United Kingdom,,Economics,University of Nottingham,no,no,no,no,11/1/2021,yes,,,,,Leo,59,57
Exxon Mobil,6,4,285640,23040,63000,Energy,Irving,TX,no,no,no,yes,10,Darren W. Woods,www.exxonmobil.com,XOM,371841,Darren W. Woods,1/1/1964,1/1/2023,11/1/1964,"MMDD missing, default to 1/1",Wichita,KS,TX,,Electrical Engineering,Texas A&M,MBA,Northwestern,no,no,11/1/2017,no,,,,,,59,53
Berkshire Hathaway,7,-1,276094,89795,372000,Financials,Omaha,NE,no,no,no,yes,6,Warren E. Buffett,www.berkshirehathaway.com,BRKA,625468,Warren E. Buffett,8/30/1930,8/30/2023,11/1/1930,,Omaha,NE,NE,,Business Administration,"University of Nebraska, Lincoln",Economics,Columbia,no,no,11/1/1970,no,,,,,Virgo,93,40
Alphabet,8,1,257637,76033,156500,Technology,Mountain View,CA,no,no,no,yes,9,Sundar Pichai,https://www.abc.xyz,GOOGL,1309359,Sundar Pichai,6/10/1972,6/10/2023,11/1/1972,,Madurai,India,India,,Metallurgical Engineering,IIT Kharagpur,Materials Science and Engineering,Stanford,no,no,11/1/2015,no,MBA,UPenn,,,Gemini,51,43
McKesson,9,-2,238228,-4539,67500,Health Care,Irving,TX,no,no,no,no,7,Brian S. Tyler,www.mckesson.com,MCK,47377,Brian S. Tyler,1/1/1967,1/1/2023,11/1/1967,"MMDD missing, default to 1/1",,,TX,,Economics,University of California Santa Cruz,Economics,University of Chicago,yes,no,11/1/2019,no,,,,,,56,52
AmerisourceBergen,10,-2,213989,1540,40000,Health Care,Conshohocken,PA,no,no,no,yes,8,Steven H. Collis,www.amerisourcebergen.com,ABC,29972,Steven H. Collis,1/1/1962,1/1/2023,11/1/1962,"MMDD missing, default to 1/1",Johannesburg,South Africa,South Africa,,Commerce,University of Witwatersrand,no,no,no,no,11/1/2011,no,,,,,,61,49
Costco Wholesale,11,1,195929,5007,288000,Retailing,Issaquah,WA,no,no,no,yes,12,W. Craig Jelinek,www.costco.com,COST,230443,W. Craig Jelinek,8/8/1952,8/8/2023,11/1/1952,,Los Angeles,CA,CA,,Business Administration,San Diego State University,no,no,no,no,11/1/2012,no,,,,,Leo,71,60
Cigna,12,1,174078,5365,72963,Health Care,Bloomfield,CT,no,no,no,yes,13,David Cordani,https://www.cigna.com,CI,88459,David Cordani,2/10/1966,2/10/2023,11/1/1966,,Waterbury,CT,CT,,Accounting and Finance,Texas A&M,MBA,University of Hartford,no,no,11/1/2009,no,,,,,Aquarius,57,43
AT&T,13,-2,168864,20081,202600,Telecommunications,Dallas,TX,no,no,no,yes,11,John T. Stankey,www.att.com,T,148907,John T. Stankey,12/19/1962,12/19/2023,11/1/1962,,Los Angeles,CA,CA,,Finance,Loyola Marymount University,MBA,UCLA,no,no,11/1/2020,yes,,,,,Sagittarius,61,58
Microsoft,14,1,168088,61271,181000,Technology,Redmond,WA,no,no,no,yes,15,Satya Nadella,www.microsoft.com,MSFT,1941033,Satya Nadella,8/19/1967,8/19/2023,11/1/1967,,Hyderabad,India,India,,Electrical Engineering,Manipal Institute of Technology,Computer Science,University of Wisconsin-Milwaukee,no,no,11/1/2014,no,MBA,University of Chicago,,,Leo,56,47
Cardinal Health,15,-1,162467,611,46827,Health Care,Dublin,OH,no,no,no,yes,14,Jason Hollar,www.cardinalhealth.com,CAH,15169,Jason Hollar,1/1/1975,1/1/2023,11/1/1975,"MMDD missing, default to 1/1",,,OH,,Business Administration,Indiana University Bloomington,MBA,University of Chicago,no,no,11/1/2022,no,,,,,,48,47
Chevron,16,11,162465,15625,42595,Energy,San Ramon,CA,no,no,no,yes,27,Michael K. Wirth,www.chevron.com,CVX,284132,Michael K. Wirth,10/15/1960,10/15/2023,11/1/1960,,,,,,Chemical Engineering,"University of Colorado, Boulder",no,no,no,no,11/1/2018,no,,,,,Libra,63,58
Home Depot,17,1,151157,16433,490600,Retailing,Atlanta,GA,no,no,no,yes,18,Edward P. Decker,www.homedepot.com,HD,308152,Edward P. Decker,1/1/1963,1/1/2023,11/1/1963,"MMDD missing, default to 1/1",Fairview,PA,PA,,English,College of William and Mary,MBA,Carnegie Mellon University,no,no,11/1/2022,no,,,,,,60,59
Walgreens Boots Alliance,18,-2,148579,2542,258500,Food & Drug Stores,Deerfield,IL,no,no,yes,yes,16,Roz Brewer,www.walgreensbootsalliance.com,WBA,33360,Roz Brewer,1/1/1962,1/1/2023,11/1/1962,"MMDD missing, default to 1/1",Detroit,MI,MI,,Chemistry,Spelman College,,,no,no,11/1/2021,yes,Advanced Management,"Stanford, UPenn",,,,61,59
Marathon Petroleum,19,13,141032,9738,17700,Energy,Findlay,OH,no,no,no,yes,32,Michael J. Hennigan,www.marathonpetroleum.com,MPC,47526,Michael J. Hennigan,7/28/1959,7/28/2023,11/1/1959,,Philadelphia,PA,,,Chemical Engineering,Drexel,no,no,no,no,11/1/2020,yes,,,,,Leo,64,61
Elevance Health,20,3,138639,6104,98200,Health Care,Indianapolis,IN,no,no,yes,yes,23,Gail K. Boudreaux,www.elevancehealth.com,ELV,119923,Gail K. Boudreaux,1/1/1960,1/1/2023,11/1/1960,"MMDD missing, default to 1/1",Chicopee,MA,MA,,Psychology,Darmouth,MBA,Columbia,no,no,11/1/2017,yes,,,,,,63,57
Kroger,21,-4,137888,1655,420000,Food & Drug Stores,Cincinnati,OH,no,no,no,yes,17,W. Rodney McMullen,www.thekrogerco.com,KR,33846,W. Rodney McMullen,3/11/1961,3/11/2023,11/1/1961,,Pineville,KY,,,Accounting,University of Kentucky,Accounting,University of Kentucky,no,no,11/1/2014,no,,,,,Pisces,62,53
Ford Motor,22,-1,136341,17937,183000,Motor Vehicles & Parts,Dearborn,MI,no,no,no,yes,21,James D. Farley Jr.,www.ford.com,F,50609,James D. Farley Jr.,6/10/1962,6/10/2023,11/1/1962,,Bueno Aires,Argentina,CT,,Economics and Computer Science,Georgetown University,MBA,UCLA,no,no,11/1/2020,no,,,,,Gemini,61,58
Verizon Communications,23,-3,133613,22065,118400,Telecommunications,New York,NY,no,no,no,yes,20,Hans E. Vestberg,www.verizon.com,VZ,211872,Hans E. Vestberg,6/23/1965,6/23/2023,11/1/1965,,Hudiksvall,Sweden,,,Business Administration and Economics,Uppsala University,no,no,no,no,11/1/2018,yes,,,,,Cancer,58,53
JPMorgan Chase,24,-5,127202,48334,271025,Financials,New York,NY,no,no,no,yes,19,James Dimon,www.jpmorganchase.com,JPM,336469,James Dimon,3/13/1956,3/13/2023,11/1/1956,,New York City,NY,NY,,Psychology and Economics,Tufts University,MBA,Harvard,no,no,11/1/2005,yes via merger,,,,,Pisces,67,49
General Motors,25,-3,127004,10019,157000,Motor Vehicles & Parts,Detroit,MI,no,no,yes,yes,22,Mary T. Barra,www.gm.com,GM,50156,Mary T. Barra,12/24/1961,12/24/2023,11/1/1961,,Royal Oak,MI,MI,,Electrical Engineering,Kettering University,MBA,Stanford,honorary,no,11/1/2014,no,,,,,Capricorn,62,53
Centene,26,-2,125982,1347,72500,Health Care,St. Louis,MO,no,no,yes,yes,24,Sarah M. London,www.centene.com,CNC,53429,Sarah M. London,1/1/1982,1/1/2023,11/1/1982,"MMDD missing, default to 1/1",,,,,History and Literature,Harvard,MBA,University of Chicago,no,no,11/1/2022,no,,,,,,41,40
Meta Platforms,27,7,117929,39370,71970,Technology,Menlo Park,CA,no,yes,no,yes,34,Mark Zuckerberg,https://investor.fb.com,META,475718,Mark Zuckerberg,5/14/1984,5/14/2023,11/1/1984,,White Plains,NY,NY,CA,Psychology and Computer Science,Harvard,no,no,no,yes,11/1/2004,founder,,,,,Taurus,39,20
